Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Power_Supply_Type,Interlocking_Type,Communication_Link_Status,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Section_Traffic_Density,Corridor_Criticality,Available_Block_Window_Hours,Overlapping_TRD_Request,Overlapping_Engineering_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Hours,Block_Conflict_Type,Joint_Block_Recommendation,Priority_Score,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
SMMS00001,OM-NAM,OM,NAM,72.74,South Central Railway,Guntakal,Block Instrument,Block Instrument Failure,Medium,Visual Inspection,AC (25kV Signalling),RRI,Down,21-09-2025,08-09-2026,08-09-2026,11-09-2026,3.6,4.2,60,17.2,28-02-2026,15,2,19,Branch,14.28,False,True,50.9,This Week,Weekly,4.2,No_Overlap,No,57.4,3.6,62.8,0.76
SMMS00002,HQO-RZRHM,HQO,RZRHM,51.68,Western Railway,Vadodara,Axle Counter,Wheel Sensor Fault,Low,Preventive Test,DC,EI,Normal,29-01-2026,15-09-2026,16-09-2026,21-09-2026,4.7,4.3,90,5.9,19-06-2026,15,1,15,Trunk,4.66,False,False,19.8,This Month,Monthly,4.3,No_Overlap,No,48.8,4.7,56.8,0.72
SMMS00003,RF-AOLQB,RF,AOLQB,71.02,Western Railway,Vadodara,Track Circuit,Rail Bonding Fault,Low,Signal Failure Alarm,AC (25kV Signalling),PI,Degraded,01-03-2026,04-09-2026,05-09-2026,10-09-2026,5.1,4.1,90,14.6,16-11-2025,90,0,2,Trunk,8.23,False,False,23.3,This Month,Monthly,4.1,Same_Division_Overlap,No,50.8,5.1,54.0,0.72
SMMS00004,TDOKH-QCOE,TDOKH,QCOE,1.91,South Central Railway,Secunderabad,Point Machine,Switch Blade Misalignment,Medium,Preventive Test,DC,EI,Normal,27-02-2026,05-09-2026,05-09-2026,08-09-2026,6.0,6.9,60,22.9,17-04-2026,90,0,19,Branch,9.19,False,False,37.3,This Month,Monthly,6.9,Same_Division_Overlap,No,46.9,6.0,46.1,0.62
SMMS00005,ML-UQ,ML,UQ,89.75,Southern Railway,Palakkad,Track Circuit,Track Circuit Failure,Low,Datalogger Analysis,DC,EI,Normal,30-09-2025,15-09-2026,15-09-2026,20-09-2026,4.8,5.3,90,15.3,13-04-2026,30,1,20,Trunk,2.11,False,False,21.1,This Week,Weekly,5.3,No_Overlap,No,56.2,4.8,44.3,0.67
SMMS00006,BVED-TNOOA,BVED,TNOOA,64.2,Northern Railway,Lucknow,Electronic Interlocking,Object Controller Fault,Low,Preventive Test,IPS (Integrated Power Supply),PI,Normal,27-10-2025,15-09-2026,16-09-2026,21-09-2026,7.4,5.8,90,14.7,30-07-2025,15,4,20,Trunk,12.59,False,False,29.2,This Week,Weekly,5.8,Cross_Division_Overlap,No,55.2,7.4,47.8,0.72
SMMS00007,AAVRB-UV,AAVRB,UV,116.55,Southern Railway,Madurai,Track Circuit,Low Voltage/Shunt Fault,Low,Signal Failure Alarm,AC (25kV Signalling),RRI,Normal,04-01-2026,15-09-2026,15-09-2026,20-09-2026,4.3,4.5,90,1.7,24-05-2026,15,0,15,Trunk,18.41,False,False,32.6,This Month,Monthly,4.5,No_Overlap,No,46.7,4.3,51.5,0.74
SMMS00008,MW-XPGIP,MW,XPGIP,84.94,Western Railway,Ratlam,Signal Cable/Data Logger,Cable Insulation Fault,Medium,Preventive Test,DC,RRI,Normal,03-02-2026,10-09-2026,10-09-2026,13-09-2026,4.8,5.7,60,23.4,02-09-2025,30,3,10,Branch,6.32,False,True,52.9,This Month,Monthly,5.7,No_Overlap,No,54.3,4.8,42.0,0.75
SMMS00009,QRXM-UCJWA,QRXM,UCJWA,63.91,South Eastern Railway,Ranchi,Signal Cable/Data Logger,Data Logger Fault,Low,Preventive Test,IPS (Integrated Power Supply),EI,Normal,09-08-2026,08-09-2026,08-09-2026,13-09-2026,5.9,6.7,0,13.0,17-08-2026,15,1,7,Branch,5.97,True,False,47.1,Programmed,Monthly,6.7,Same_Division_Overlap,No,19.7,5.9,31.7,0.73
SMMS00010,YGKUA-UGI,YGKUA,UGI,7.78,South Eastern Railway,Kharagpur,Block Instrument,Block Instrument Failure,Medium,Signal Failure Alarm,DC,EI,Normal,26-10-2025,07-09-2026,07-09-2026,10-09-2026,3.4,4.0,60,7.3,19-07-2026,180,2,3,Trunk,11.29,False,False,25.3,This Month,Monthly,4.0,No_Overlap,No,48.9,3.4,56.3,0.82
